门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置,奇穴类型,奇穴颜色
天策,铁牢律,2,辅国,施展“啸如虎”不再有气血值限制，期间自身受到伤害将会在“啸如虎”气劲结束之后使得自身获得可以化解等量伤害的吸收盾，最大为自身3倍的最大气血值，持续10秒。,24902,3,2,0
天策,铁牢律,2,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,4,2,0
天策,铁牢律,3,反岳,“御”成功抵挡一次伤害则会降低2秒“守如山”调息时间。,14799,1,2,0
天策,铁牢律,3,烈雷,“撼如雷”调息时间降低5秒，施展后强制半径10尺内最多5个目标攻击自身，持续4秒。,14800,2,2,0
天策,铁牢律,3,昂如岳,“御”施展后恢复自身10%气血值并使自身基础气血值上限提高20%，持续10秒。,18239,3,2,0
天策,铁牢律,3,坚城,“守如山”调息时间降低55秒，减伤效果变为50%，在“守如山”效果期间受到“定身”、“眩晕”、“击倒”控制效果缩短30%，持续时间额外增加5秒。,5694,4,2,0
天策,铁牢律,4,破阵乐,将“号令三军”替换为“破阵乐”，持续运功20秒，运功期间免疫负面效果（除伤害外），每秒使周围团队成员获得“破阵势”气劲持续3秒，若存在该气劲则延长3秒。<TALENT_CORE 15115 1>,42574,1,2,1
天策,铁牢律,4,长征,“突”变为2层充能，调息时间提高1秒，命中目标时使目标获得3秒“破军”效果并回复自身1点“战意”。,6514,2,2,0
天策,铁牢律,4,崩决,施展“龙牙”，使得自身“破招”提高10%，此效果持续15秒，最多叠加7层。,25354,3,2,0
天策,铁牢律,4,渊,解除自身所有移动限制(击倒和被击僵直除外)，冲刺到友方目标身边，使其3秒内受到的伤害降低20%且由自身承担，并使自身外功基础攻击力提高35%(<SKILLEx {D0} {BasicPhysicsAP 0.35}>点)，持续10秒。,2628,4,2,0
天策,铁牢律,5,载戎,“御”每成功抵御一次伤害，调息时间降低2秒。,14827,1,2,0
天策,铁牢律,5,守孤城,“御”持续时间延长4秒，施展后每秒回复3%的气血与内力，持续5秒。,18487,2,2,0
天策,铁牢律,5,傲骨,施展“突”后，自身受到的伤害降低30%，持续8秒，并强迫周围6尺范围的5个敌对目标攻击自身。,5700,3,2,0
天策,铁牢律,5,疾雨,“乘龙箭”每0.8秒朝目标区域发射箭雨，持续2.4秒。每波箭雨延迟0.8秒后对目标6尺范围最多5个目标造成<SUB 24894 0>外功伤害，每波箭雨范围内有3个及以上敌方目标会降低“乘龙箭”8秒调息时间。,24895,4,2,0
天策,铁牢律,6,狮心,施展“沧月”将消耗自身战意，每消耗一点战意降低自身“疾”2秒调息时间。,5696,1,2,0
天策,铁牢律,6,旗渊,气血值低于50%时，被攻击使自身御劲率提高8%，持续8秒。,5701,2,2,0
天策,铁牢律,6,将威,“啸如虎”期间被疗伤成效额外提高30%，持续期间每2秒进行一次“虎震”使周围6尺内5个目标眩晕1.5秒。,5697,3,2,0
天策,铁牢律,6,掠如火,施展“疾如风”后自身威胁值提高75%，团队成员获得无威胁气劲，持续8秒。,18238,4,2,0
天策,铁牢律,7,出云,“战八方”会心几率提高10%，会心效果提高10%，可以在马下施展。,5669,1,2,0
天策,铁牢律,7,劲风,“龙吟”附带的“破风”效果提高33%，并使目标造成的伤害降低10%。,18872,2,2,0
天策,铁牢律,7,留侯,“龙吟”威胁值提高20%，调息时间降低4秒。,5681,3,2,0
天策,铁牢律,7,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,4,2,0
天策,铁牢律,8,骁勇,“突”附带“流血”和“破风”效果，命中拥有破军的目标额外添加一层“流血”。,18602,1,3,0
天策,铁牢律,8,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,5658,2,3,0
天策,铁牢律,8,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,3,3,0
天策,铁牢律,8,定军,"对敌人造成<SKILL PhysicsDamage>点(+<SKILLEx {D0+D1} {SkillPhysicsAP},{BasicPhysicsAP -0.1}>)外功伤害，并强迫其对你发起攻击。<TALENT 2623 1 成功招架后有15%几率重置调息时间><TALENT 5666 1 每点“战意""增加5%伤害><TALENT 2623 2 成功招架后有30%几率重置调息时间><TALENT 5698 1 成功招架后有50%几率重置调息时间><TALENT 2626 1 调息时间降低1秒，招式有效距离提高2尺，伤害提高50%><TALENT 2626 2 调息时间降低2秒，招式有效距离提高4尺，伤害提高100%>",402,4,3,0
天策,铁牢律,8,击水,“流血”效果可叠3层，持续效果增加5跳。对有自身三层流血的目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,5,3,0
天策,铁牢律,8,仗剑,“灭”不再对自身造成伤害，并回复自身18%气血值。,5682,6,3,0
天策,铁牢律,8,望西京,基础气血和内力上限提高10%。,5695,7,3,0
天策,铁牢律,8,崩,对运功状态的目标造成<SUB 483 0>外功伤害，并使其晕眩且加速率降低30%，持续5秒。,482,8,3,0
天策,铁牢律,8,雷心,受到攻击若气血值低于40%，每秒回复3%气血最大值，自身气血值高于40%后该效果消失。,5686,9,3,0
天策,铁牢律,8,踏北邙,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，受到所有伤害降低20%，当气血值高于40%时该效果消失。,5702,10,3,0
天策,铁牢律,8,振甲,“乘龙箭”命中具有“破军”的目标额外造成一次破招伤害。,40300,11,3,0
天策,铁牢律,8,岳峙,施展“守如山”后，立刻强制周围8尺内的5个敌人攻击自身，每3秒再次强制攻击自身。,6518,12,3,0
天策,铁牢律,9,骁勇,“突”附带“流血”和“破风”效果，命中拥有破军的目标额外添加一层“流血”。,18602,1,3,0
天策,铁牢律,9,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,5658,2,3,0
天策,铁牢律,9,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,3,3,0
天策,铁牢律,9,定军,"对敌人造成<SKILL PhysicsDamage>点(+<SKILLEx {D0+D1} {SkillPhysicsAP},{BasicPhysicsAP -0.1}>)外功伤害，并强迫其对你发起攻击。<TALENT 2623 1 成功招架后有15%几率重置调息时间><TALENT 5666 1 每点“战意""增加5%伤害><TALENT 2623 2 成功招架后有30%几率重置调息时间><TALENT 5698 1 成功招架后有50%几率重置调息时间><TALENT 2626 1 调息时间降低1秒，招式有效距离提高2尺，伤害提高50%><TALENT 2626 2 调息时间降低2秒，招式有效距离提高4尺，伤害提高100%>",402,4,3,0
天策,铁牢律,9,击水,“流血”效果可叠3层，持续效果增加5跳。对有自身三层流血的目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,5,3,0
天策,铁牢律,9,仗剑,“灭”不再对自身造成伤害，并回复自身18%气血值。,5682,6,3,0
天策,铁牢律,9,望西京,基础气血和内力上限提高10%。,5695,7,3,0
天策,铁牢律,9,崩,对运功状态的目标造成<SUB 483 0>外功伤害，并使其晕眩且加速率降低30%，持续5秒。,482,8,3,0
天策,铁牢律,9,雷心,受到攻击若气血值低于40%，每秒回复3%气血最大值，自身气血值高于40%后该效果消失。,5686,9,3,0
天策,铁牢律,9,踏北邙,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，受到所有伤害降低20%，当气血值高于40%时该效果消失。,5702,10,3,0
天策,铁牢律,9,振甲,“乘龙箭”命中具有“破军”的目标额外造成一次破招伤害。,40300,11,3,0
天策,铁牢律,9,岳峙,施展“守如山”后，立刻强制周围8尺内的5个敌人攻击自身，每3秒再次强制攻击自身。,6518,12,3,0
天策,铁牢律,10,骁勇,“突”附带“流血”和“破风”效果，命中拥有破军的目标额外添加一层“流血”。,18602,1,3,0
天策,铁牢律,10,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,5658,2,3,0
天策,铁牢律,10,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,3,3,0
天策,铁牢律,10,定军,"对敌人造成<SKILL PhysicsDamage>点(+<SKILLEx {D0+D1} {SkillPhysicsAP},{BasicPhysicsAP -0.1}>)外功伤害，并强迫其对你发起攻击。<TALENT 2623 1 成功招架后有15%几率重置调息时间><TALENT 5666 1 每点“战意""增加5%伤害><TALENT 2623 2 成功招架后有30%几率重置调息时间><TALENT 5698 1 成功招架后有50%几率重置调息时间><TALENT 2626 1 调息时间降低1秒，招式有效距离提高2尺，伤害提高50%><TALENT 2626 2 调息时间降低2秒，招式有效距离提高4尺，伤害提高100%>",402,4,3,0
天策,铁牢律,10,击水,“流血”效果可叠3层，持续效果增加5跳。对有自身三层流血的目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,5,3,0
天策,铁牢律,10,仗剑,“灭”不再对自身造成伤害，并回复自身18%气血值。,5682,6,3,0
天策,铁牢律,10,望西京,基础气血和内力上限提高10%。,5695,7,3,0
天策,铁牢律,10,崩,对运功状态的目标造成<SUB 483 0>外功伤害，并使其晕眩且加速率降低30%，持续5秒。,482,8,3,0
天策,铁牢律,10,雷心,受到攻击若气血值低于40%，每秒回复3%气血最大值，自身气血值高于40%后该效果消失。,5686,9,3,0
天策,铁牢律,10,踏北邙,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，受到所有伤害降低20%，当气血值高于40%时该效果消失。,5702,10,3,0
天策,铁牢律,10,振甲,“乘龙箭”命中具有“破军”的目标额外造成一次破招伤害。,40300,11,3,0
天策,铁牢律,10,岳峙,施展“守如山”后，立刻强制周围8尺内的5个敌人攻击自身，每3秒再次强制攻击自身。,6518,12,3,0
纯阳,太虚剑意,1,无尤,“玄应之气”上限提高20点，“人剑合一”调息时间提高12秒且效果范围提高5尺，<NounID 87>状态下自身免疫控制（被推被拉除外）。,38539,1,1,1
纯阳,太虚剑意,1,浑沦,“玄应之气”达到上限时会自动进入<NounID 87>状态，施展“人剑合一”时定身时间提高1秒，会引爆16尺范围内自身和敌方的气场，自身气场被引爆时周围7尺敌对目标也将受到伤害和定身效果，同时为自身添加3秒“生太极”气劲。,38540,2,1,2
纯阳,太虚剑意,1,玄门,“生太极”持续时间提高5秒，非战斗状态下每秒额外获得6点“玄应之气”。不再触发“生太极”增益及减速效果，<NounID 87>状态下施展“无我无剑”将额外造成<SUB 40752 1>外功伤害，每秒获得5格气，且可激活招式“人剑合一·解”。,14833,3,1,3
纯阳,太虚剑意,1,铮鸣,“玄应之气”获取速度增加50%，“人剑合一”范围提高5尺，<NounID 87>状态下对目标造成定身、锁足、眩晕将会回复与控制时间相关的“玄应之气”。,21725,4,1,4
纯阳,太虚剑意,2,心转,“转乾坤”降低伤害效果持续时间提高4秒，每秒回复6%气血值，期间受到伤害将对攻击者位置8尺6个敌对目标造成<SUB 40752 1>伤害并添加1层“叠刃”，该效果每0.25秒只触发一次。,32400,1,2,0
纯阳,太虚剑意,2,云游,“云中剑”持续期间，移动速度增加30%，自身施展“天道剑势”套路下招式额外续气一格，“紫气东来”期间“云中剑”命中敌人时为其添加一层“叠刃”。,6744,2,2,0
纯阳,太虚剑意,2,剑势,<NounID 87>状态下施展“吞日月”将会额外消耗20点“玄应之气”，“吞日月”会在产生的时候标记其中3个敌方侠士目标6秒，施展“无我无剑”命中被标记的目标则使其受到“剑灵”攻击4秒，被标记的目标离开“吞日月”1秒后将再次回到“吞日月”中心位置并移除标记。,20782,3,2,0
纯阳,太虚剑意,2,故长,“碎星辰”变为无调息时间，持续时间增加12秒，只对自己生效，处于“碎星辰”期间自身无视目标60%外功防御。,18799,4,2,0
纯阳,太虚剑意,3,无欲,“紫气东来”持续期间不再持续获得气点，但基础攻击力提高至50%，无双等级提高30%，施展“八荒归元”命中气血最大值小于30%的目标将触发最大伤害。,17731,1,2,0
纯阳,太虚剑意,3,斩勘,<NounID 87>状态下自身施展“天道剑势”套路下招式时命中带有“叠刃”效果的侠士目标将消耗4点“玄应之气”，根据叠刃层数造成一段额外伤害。,6757,2,2,0
纯阳,太虚剑意,3,虚极,自身“叠刃”伤害提高40%。“万剑归宗”会心提高10%，会心效果提高10%，调息时间降低2秒，命中目标将使其获得一层“叠刃”效果。,14832,3,2,0
纯阳,太虚剑意,3,凶年,“生太极”作用范围提高5尺，减速效果提高到45%。,14835,4,2,0
纯阳,太虚剑意,4,叠刃,“无我无剑”命中目标后附带1层叠刃效果，若会心则额外附带1层叠刃效果，最多叠加5层。,5821,1,2,0
纯阳,太虚剑意,4,解牛,对被定身、锁足、眩晕的目标伤害提高25%。每次命中被定身、锁足、眩晕的目标会使自身会心几率提高2%，持续3秒，最多提高20%。,5802,2,2,0
纯阳,太虚剑意,4,湛存,被自身“吞日月”效果作用的敌方侠士目标每秒获得1层“湛存”效果，最多3层，持续4秒。自身施展“无我无剑”命中带有“湛存”效果的目标，最少1层对目标造成200%武器伤害附加<SUB 30828 1>外功伤害，最多3层对目标造成200%武器伤害附加<SUB 30828 3>外功伤害。,30831,3,2,0
纯阳,太虚剑意,4,归剑,“万剑归宗”不再占用基础调息时间，调息时间增加7秒，施展“万剑归宗”时，消耗20点“玄应之气”可将30尺内周围所有气场回收至自身位置。,41904,4,2,0
纯阳,太虚剑意,5,负阴,“碎星辰”气场对自身的增益效果提高100%，处于“碎星辰”气场中时，自身外功基础攻击提高5%。,14829,1,2,0
纯阳,太虚剑意,5,裂云,自身造成的“叠刃”效果最高层数提高至7层，处于自身4层“叠刃”及以上的目标15尺内将提高自身25%的移动速度和15%的外功会心效果。,24962,2,2,0
纯阳,太虚剑意,5,若水,“紫气东来”充能时间降低10秒，充能层数提高1层。,14598,3,2,0
纯阳,太虚剑意,5,斗转,“剑冲阴阳”变为2层透支技能。“剑冲阴阳”命中目标后会为目标添加2层“叠刃”效果并将把距离目标30尺内最近的自身创建的“吞日月”气场吸引至目标脚下并强化该“吞日月”5秒，使自身伤害命中该次“吞日月”中的目标会造成0.25秒眩晕效果。,32403,4,2,0
